Time,Detected Intent,Original Transcription,Final Response,Log Count
"2026-01-13 18:02:22","unknown","اما ابون لبنچوڑی دونہ.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'f0287ae9-e8a9-445c-9813-a9439564cfbb.wav'}","19"
"2026-01-13 18:02:13","unknown","Hey, what are you mean, bro?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'a0671d75-ca09-429d-9623-6a2acc2a3797.wav'}","17"
"2026-01-13 18:02:10","send_money","ہیلو، سینڈ کر دو پیسے حافز وحیب علی کو","{'id': '213700962', 'type': 'send_money', 'amount': 0, 'detected_language': 'urdu', 'name': 'Hafiz Zuhaib Ali', 'bankName': 'MSHQ', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'a3805239-f3cd-41b5-ba28-2efd83b99459.wav'}","26"
"2026-01-13 18:02:08","send_money","حمزہ جیز کیش میں چھبیس سو روپے بھیج دو","{'id': '73511946', 'type': 'send_money', 'amount': 2600, 'detected_language': 'urdu', 'name': 'AMEER HAMZA', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'ab5d15b8-ec0b-4a12-b75f-065c2d431278.wav'}","26"
"2026-01-13 18:01:57","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e3ca387e-28b7-4163-82e0-fd1e0dcb5b62.wav'}","19"
"2026-01-13 17:59:41","unknown","Sending the money.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c1ad543b-b0be-42bb-b6e8-3b7ceed02013.wav'}","17"
"2026-01-13 17:59:20","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'df7eb91f-d382-4013-a797-dde5aad042fc.wav'}","19"
"2026-01-13 17:58:24","unknown","میر فراز","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '6d87686b-4944-4828-b5b2-2818e3b6f391.wav'}","19"
"2026-01-13 17:58:15","","","","5"
"2026-01-13 17:58:11","","","","5"
"2026-01-13 17:57:53","unknown","What is my present amount?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '9a09d2fe-8a71-4712-a071-cedfebe752e6.wav'}","17"
"2026-01-13 17:57:45","unknown","Show me my balance.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'a2fd8cf4-60bb-4da7-ab6a-e93b6476c5c3.wav'}","17"
"2026-01-13 17:57:38","","","","5"
"2026-01-13 17:57:30","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '2512accc-fc00-4e3f-8fed-c0b8b2cc6648.wav'}","19"
"2026-01-13 17:57:22","unknown","Open setting","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '72cdd6a3-c6e9-4cab-9aff-f72b4fb976c3.wav'}","17"
